#Position	Gene	Swift amplicon name
chr1:43814936-43815079	MPL	MPL_cDNA_1486-1565_codon_496-521
chr1:115252123-115252247	NRAS	NRAS_cDNA_408-450_codon_137-150
chr1:115252211-115252363	NRAS	NRAS_new1
chr1:115252319-115252465	NRAS	NRAS_new2
chr1:115256374-115256501	NRAS	NRAS_new3
chr1:115256465-115256591	NRAS	NRAS_cDNA_135-231_codon_46-77
chr1:115258683-115258798	NRAS	NRAS_cDNA_1-84_codon_1-28
chr1:162748336-162748434	DDR2	DDR2_cDNA_2284-2333_codon_762-777
chr2:25457159-25457264	DNMT3A	DNMT3A_cDNA_2638-2713_codon_880-904
chr2:29432636-29432728	ALK	ALK_cDNA_3775-3836_codon_1259-1278
chr2:29443592-29443717	ALK	ALK_cDNA_3516-3610_codon_1173-1203
chr2:48030544-48030667	MSH6	MSH6_cDNA_3173-3266_codon_1059-1088
chr2:48030614-48030747	MSH6	MSH6_cDNA_3243-3346_codon_1082-1115
chr2:48030712-48030817	MSH6	MSH6_cDNA_3341-3416_codon_1115-1138
chr2:48030775-48030898	MSH6	MSH6_cDNA_3404-3438_codon_1136-1146
chr2:209113092-209113228	IDH1	IDH1_cDNA_294-400_codon_99-133
chr2:212288872-212288993	ERBB4	ERBB4_cDNA_2768-2859_codon_924-953
chr2:212530045-212530163	ERBB4	ERBB4_cDNA_1771-1859_codon_591-619
chr2:212576779-212576907	ERBB4	ERBB4_cDNA_1007-1105_codon_337-368
chr2:212578264-212578368	ERBB4	ERBB4_cDNA_904-978_codon_302-326
chr2:212587127-212587228	ERBB4	ERBB4_cDNA_788-859_codon_264-286
chr2:212589756-212589853	ERBB4	ERBB4_cDNA_704-741_codon_236-247
chr2:212652700-212652827	ERBB4	ERBB4_cDNA_494-556_codon_166-185
chr2:212812058-212812186	ERBB4	ERBB4_cDNA_405-421_codon_136-140
chr3:10183750-10183869	VHL	VHL_cDNA_234-323_codon_79-107
chr3:10188170-10188317	VHL	VHL_cDNA_341-445_codon_115-148
chr3:10191405-10191536	VHL	VHL_cDNA_464-514_codon_156-171
chr3:37067176-37067271	MLH1	MLH1_cDNA_1102-1167_codon_368-389
