#Swift_Amplicon_Name	Chr	Start	End	Gene	Transcript	Orientation	cDNA_start	upstream_bases	cDNA_end	downstream_bases	starts_in_codon	first_full_codon	ends_in_codon	last_full_codon
001_MPL_S505N-A519T_F2	chr1	43814951	43815064	MPL	NM_005373	+	1486	0	1565	34	496	496	522	521
002_NRAS_A146_R1	chr1	115252138	115252232	NRAS	NM_002524	-	408	0	450	52	136	137	150	150
003_NRAS_G60-S65_new_R1	chr1	115256480	115256576	NRAS	NM_002524	-	135	0	231	0	45	46	77	77
004_NRAS_G12.F1	chr1	115258698	115258783	NRAS	NM_002524	-	1	2	84	0	1	1	28	28
005_DDR2.S768.F2	chr1	162748351	162748419	DDR2	NM_006182	+	2284	19	2333	0	762	762	778	777
006_DNMT3A_R882_R1	chr2	25457174	25457249	DNMT3A	NM_175629	-	2638	0	2713	0	880	880	905	904
007_ALK_R1275Qoption_21	chr2	29432651	29432713	ALK	NM_004304	-	3775	0	3836	1	1259	1259	1279	1278
008_ALK_F1174-L1196_R1	chr2	29443607	29443702	ALK	NM_004304	-	3516	1	3610	0	1172	1173	1204	1203
009_MSH6_exon5_F12	chr2	48030559	48030652	MSH6	NM_000179	+	3173	0	3266	0	1058	1059	1089	1088
010_MSH6_exon5_F22	chr2	48030629	48030732	MSH6	NM_000179	+	3243	0	3346	0	1081	1082	1116	1115
011_MSH6_exon5_F32	chr2	48030727	48030802	MSH6	NM_000179	+	3341	0	3416	0	1114	1115	1139	1138
012_MSH6_exon5_F42	chr2	48030790	48030883	MSH6	NM_000179	+	3404	0	3438	59	1135	1136	1146	1146
013_IDH1_R132_R1	chr2	209113107	209113213	IDH1	NM_001282386	-	294	0	400	0	98	99	134	133
014_ERBB4_D931_G936_R1	chr2	212288887	212288978	ERBB4	NM_005235	-	2768	0	2859	0	923	924	953	953
015_ERBB4_D595_H618_R1	chr2	212530060	212530148	ERBB4	NM_005235	-	1771	0	1859	0	591	591	620	619
