#Position	Gene	Swift amplicon name
chr1:43814951-43815064	MPL	001_MPL_S505N-A519T_F2
chr1:115252138-115252232	NRAS	002_NRAS_A146_R1
chr1:115256480-115256576	NRAS	003_NRAS_G60-S65_new_R1
chr1:115258698-115258783	NRAS	004_NRAS_G12.F1
chr1:162748351-162748419	DDR2	005_DDR2.S768.F2
chr2:25457174-25457249	DNMT3A	006_DNMT3A_R882_R1
chr2:29432651-29432713	ALK	007_ALK_R1275Qoption_21
chr2:29443607-29443702	ALK	008_ALK_F1174-L1196_R1
chr2:48030559-48030652	MSH6	009_MSH6_exon5_F12
chr2:48030629-48030732	MSH6	010_MSH6_exon5_F22
chr2:48030727-48030802	MSH6	011_MSH6_exon5_F32
chr2:48030790-48030883	MSH6	012_MSH6_exon5_F42
chr2:209113107-209113213	IDH1	013_IDH1_R132_R1
chr2:212288887-212288978	ERBB4	014_ERBB4_D931_G936_R1
chr2:212530060-212530148	ERBB4	015_ERBB4_D595_H618_R1
chr2:212576794-212576892	ERBB4	016_ERBB4_S341_V348_R1
chr2:212578279-212578353	ERBB4	017_ERBB4_S303_R306_R1
chr2:212587142-212587213	ERBB4	018_ERBB4_Y285C_R1
chr2:212589771-212589838	ERBB4	019_ERBB4_T244R_R1
chr2:212652715-212652812	ERBB4	020_ERBB4_N181S_R1
chr2:212812073-212812171	ERBB4	021_ERBB4_T140I_R1
chr3:10183765-10183854	VHL	022_vhl1_F2
chr3:10188185-10188302	VHL	023_vhl2_F2
chr3:10191420-10191521	VHL	024_vhl3_F2
chr3:37067191-37067256	MLH1	025_MLH1_V384D_F2
chr3:41266037-41266140	CTNNB1	026_CTNNB1_D32-S45_F2
chr3:138665150-138665247	FOXL2	027_FOXL2_C134_R1
chr3:178916806-178916898	PIK3CA	028_PIK3CA_Q75E-R88Q_F2
chr3:178916873-178916963	PIK3CA	029_PIK3CA_R108del-R115L_F2
chr3:178921462-178921563	PIK3CA	030_PIK3CA_T324I-N345K_F2
chr3:178927399-178927471	PIK3CA	031_PIK3CA_S405F-C407W_F2
chr3:178927918-178928005	PIK3CA	032_PIK3CA_E418K-C420R_F2
chr3:178928070-178928161	PIK3CA	033_PIK3CA_G451-P466S_F2
chr3:178936022-178936108	PIK3CA	034_PIK3CA_P539-Q546_F2
chr3:178938806-178938876	PIK3CA	035_PIK3CA_H701P_F2
chr3:178947811-178947887	PIK3CA	036_PIK3CA_C901-F909_F2
chr3:178952000-178952107	PIK3CA	037_PIK3CA_H1047R_F_option2_F2
chr3:178952142-178952242	PIK3CA	038_PIK3CA_N1068-STOP1069_F2
chr4:1803563-1803646	FGFR3	039_FGFR3_R248,_S249,_H251.F2
chr4:1803646-1803747	FGFR3	040_FGFR3_K276_V308_F2
chr4:1806064-1806156	FGFR3	041_FGFR3_A369-A391.F2
chr4:1807845-1807931	FGFR3	042_FGFR3_D641-K650.F2
chr4:1808274-1808395	FGFR3	043_FGFR3_G697.F2
chr4:1808927-1809004	FGFR3	044_FGFR3_L794fs*.F2
chr4:55140993-55141088	PDGFRA	045_PDGFRA_R554-E571_F2
chr4:55144124-55144212	PDGFRA	046_PDGFRA_N659_F2
