#Swift_Amplicon_Name	Chr	Start	End	Gene	Transcript	Orientation	cDNA_start	upstream_bases	cDNA_end	downstream_bases	starts_in_codon	first_full_codon	ends_in_codon	last_full_codon
NRAS_A146_F/2	chr1	115252138	115252232	NRAS	NM_002524	-	408	0	450	52	136	137	150	150
NRAS_G60-S65_new_F/2	chr1	115256480	115256576	NRAS	NM_002524	-	135	0	231	0	45	46	77	77
NRAS_G12.F/1	chr1	115258698	115258783	NRAS	NM_002524	-	1	2	84	0	1	1	28	28
EGFR_R108_F/2	chr7	55211043	55211113	EGFR	NM_005228	+	286	0	356	0	96	96	119	118
EGFR_A289_F/2	chr7	55221796	55221866	EGFR	NM_005228	+	840	0	889	21	280	281	297	296
EGFR_P596_G598_F_option2coversC620Y/2	chr7	55233011	55233121	EGFR	NM_005228	+	1761	0	1871	0	587	588	624	623
EGFR_exon_18_F/2	chr7	55241631	55241724	EGFR	NM_005228	+	2079	0	2172	0	693	694	724	724
EGFR_exon19_A_F/2	chr7	55242386	55242472	EGFR	NM_005228	+	2185	29	2242	0	729	729	748	747
EGFR_exon19_B_F/2	chr7	55242444	55242540	EGFR	NM_005228	+	2214	0	2283	27	738	739	761	761
EGFR_exon_20_(T790M)_F/2	chr7	55248998	55249090	EGFR	NM_005228	+	2296	0	2388	0	766	766	796	796
EGFR_G810S-I821T_F/2	chr7	55249122	55249213	EGFR	NM_005228	+	2420	0	2469	42	807	808	823	823
EGFR_exon_21_(L858R)_F/2	chr7	55259501	55259567	EGFR	NM_005228	+	2559	0	2625	0	853	854	875	875
BRAF_V600_primer_1_F/1	chr7	140453110	140453194	BRAF	NM_004333	-	1742	1	1825	0	581	582	609	608
BRAF_V471_R444.F/2	chr7	140481384	140481481	BRAF	NM_004333	-	1327	0	1424	0	443	443	475	474
KRAS_A146-K117_F/2	chr12	25378557	25378661	KRAS	NM_004985	-	337	0	441	0	113	113	147	147
KRAS_Q61.F/1	chr12	25380262	25380360	KRAS	NM_004985	-	112	14	196	0	38	38	66	65
KRAS_codon12.F/1	chr12	25398215	25398311	KRAS	NM_004985	-	8	0	104	0	3	4	35	34
