#Position	Gene	Swift amplicon name
chr1:43814951-43815064	MPL	MPL_S505N-A519T_F/2
chr1:115252138-115252232	NRAS	NRAS_A146_R/1
chr1:115252226-115252348	NRAS	NRAS_115252189-115252349_s175_2
chr1:115252334-115252450	NRAS	NRAS_115252189-115252349_s175_3
chr1:115256389-115256486	NRAS	NRAS_115256420-115256599_s175_1
chr1:115256480-115256576	NRAS	NRAS_G60-S65_new_R/1
chr1:115258698-115258783	NRAS	NRAS_G12.F/1
chr1:162748351-162748419	DDR2	DDR2.S768.F/2
chr2:25457174-25457249	DNMT3A	DNMT3A_R882_R/1
chr2:29432651-29432713	ALK	ALK_R1275Qoption_2/1
chr2:29443607-29443702	ALK	ALK_F1174-L1196_R/1
chr2:48030559-48030652	MSH6	MSH6_exon5_F1/2
chr2:48030629-48030732	MSH6	MSH6_exon5_F2/2
chr2:48030727-48030802	MSH6	MSH6_exon5_F3/2
chr2:48030790-48030883	MSH6	MSH6_exon5_F4/2
chr2:209113107-209113213	IDH1	IDH1_R132_R/1
chr2:212288887-212288978	ERBB4	ERBB4_D931_G936_R/1
chr2:212530060-212530148	ERBB4	ERBB4_D595_H618_R/1
chr2:212576794-212576892	ERBB4	ERBB4_S341_V348_R/1
chr2:212578279-212578353	ERBB4	ERBB4_S303_R306_R/1
chr2:212587142-212587213	ERBB4	ERBB4_Y285C_R/1
chr2:212589771-212589838	ERBB4	ERBB4_T244R_R/1
chr2:212652715-212652812	ERBB4	ERBB4_N181S_R/1
chr2:212812073-212812171	ERBB4	ERBB4_T140I_R/1
chr3:10183765-10183854	VHL	vhl1_F/2
chr3:10188185-10188302	VHL	vhl2_F/2
chr3:10191420-10191521	VHL	vhl3_F/2
chr3:37067191-37067256	MLH1	MLH1_V384D_F/2
chr3:41266037-41266140	CTNNB1	CTNNB1_D32-S45_F/2
chr3:138665150-138665247	FOXL2	FOXL2_C134_R/1
chr3:178916806-178916898	PIK3CA	PIK3CA_Q75E-R88Q_F/2
chr3:178916873-178916963	PIK3CA	PIK3CA__R108del-R115L_F/2
chr3:178921462-178921563	PIK3CA	PIK3CA_T324I-N345K_F/2
chr3:178927399-178927471	PIK3CA	PIK3CA__S405F-C407W_F/2
chr3:178927918-178928005	PIK3CA	PIK3CA_E418K-C420R_F/2
chr3:178928070-178928161	PIK3CA	PIK3CA_G451-P466S_F/2
chr3:178936022-178936108	PIK3CA	PIK3CA_P539-Q546_F/2
chr3:178938806-178938876	PIK3CA	PIK3CA_H701P_F/2
chr3:178947811-178947887	PIK3CA	PIK3CA_C901-F909_F/2
chr3:178952000-178952107	PIK3CA	PIK3CA_H1047R_F_option2_F/2
chr3:178952142-178952242	PIK3CA	PIK3CA_N1068-STOP1069_F/2
chr4:1803563-1803646	FGFR3	FGFR3_R248S249_H251.F/2
chr4:1803646-1803747	FGFR3	FGFR3_K276_V308_F/2
chr4:1806064-1806156	FGFR3	FGFR3_A369-A391.F/2
chr4:1807845-1807931	FGFR3	FGFR3_D641-K650.F/2
chr4:1808274-1808395	FGFR3	FGFR3_G697.F/2
chr4:1808927-1809004	FGFR3	FGFR3_L794fs*.F/2
chr4:55140993-55141088	PDGFRA	PDGFRA_R554-E571_F/2
chr4:55144124-55144212	PDGFRA	PDGFRA_N659_F/2
chr4:55144474-55144559	PDGFRA	PDGFRA_T674I_F/2
chr4:55152025-55152135	PDGFRA	PDGFRA_V824-D846_F/2
chr4:55561695-55561783	KIT	KIT.G51-D52.F/2
chr4:55561783-55561861	KIT	KIT_T59_W82_F/2
chr4:55592043-55592163	KIT	KIT_V457_N495_F/2
chr4:55592152-55592244	KIT	KIT.Y503-K505.F/2
chr4:55593421-55593513	KIT	KIT.V530-K546.F/2
chr4:55593515-55593613	KIT	KIT.K550-K558.F/2
chr4:55593599-55593688	KIT	KIT_L576P-P577-D579del__/2
chr4:55594144-55594261	KIT	KIT_K642_F_option2/2
chr4:55595493-55595568	KIT	KIT.T670.F/1
chr4:55595562-55595665	KIT	KIT_K685_C714_F/2
chr4:55597456-55597531	KIT	KIT.S715.F/2
chr4:55597530-55597617	KIT	KIT_D737_F/2
chr4:55599259-55599358	KIT	KIT.D816.F/2
chr4:55602664-55602766	KIT	KIT.E839-W853.F/2
chr4:55946079-55946138	KDR	KDR_P1355del_R/1
chr4:55946225-55946270	KDR	KDR_G1308*_R/1
chr4:55953738-55953843	KDR	KDR_P1210L_F/1__NEW
chr4:55955084-55955172	KDR	KDR_L1140_G1145_R/1
chr4:55960944-55961033	KDR	KDR_A973_S984_F/1__NEW
chr4:55962478-55962580	KDR	KDR_G873R_R/1
chr4:55972945-55973028	KDR	KDR_V476L_R/1
chr4:55979550-55979636	KDR	KDR_R275L_R/1
chr4:55980322-55980393	KDR	KDR_A248G_R/1
chr4:153245377-153245470	FBXW7	FBXW7_S582.R/1
chr4:153247269-153247374	FBXW7	FBXW7_R479-R505.R/1
chr4:153249374-153249478	FBXW7	FBXW7_R465.R/1
chr4:153250842-153250918	FBXW7	FBXW7_R393.R/1
chr4:153258967-153259029	FBXW7	FBXW7_R278.R/1
chr4:153259016-153259122	FBXW7	FBXW7_E248_R/1
chr5:112173873-112173970	APC	APC_N869fs*47_R876*_I880T_Q886*_F/2
chr5:112174572-112174677	APC	APC_Q1096*-G1120C_F/2
chr5:112175155-112175261	APC	APC__Q1294fs*9-E1322*_F/2
chr5:112175322-112175432	APC	APC__E1345*-E1379*_F/2
chr5:112175569-112175626	APC	APC_Q1429_Q1469_F_1/2
chr5:112175688-112175711	APC	APC_Q1429_Q1469_R_1/1
chr5:112175745-112175839	APC	APC_L1488fs*19-E1513*_F/2
chr5:112175897-112175972	APC	APC_E1537_S1595_F_1/2
chr5:112175977-112176076	APC	APC_L1537_A1595_F_2/2
chr5:149433595-149433692	CSF1R	CSF1R_Y969_R/1
chr5:149452991-149453083	CSF1R	CSF1R_L301_R/1
chr5:170837505-170837618	NPM1	NPM1_W288_Q289_W290_and_fs_F/1__NEW
chr7:55211043-55211113	EGFR	EGFR_R108_F/2
chr7:55221796-55221866	EGFR	EGFR_A289_F/2
chr7:55233011-55233121	EGFR	EGFR_P596_G598_F_option2coversC620Y/2
chr7:55241631-55241724	EGFR	EGFR_exon_18_F/2
chr7:55242386-55242472	EGFR	EGFR_exon19_A_F/2
chr7:55242444-55242540	EGFR	EGFR_exon19_B_F/2
chr7:55248998-55249090	EGFR	EGFR_exon_20_(T790M)_F/2
chr7:55249122-55249213	EGFR	EGFR_G810S-I821T_F/2
chr7:55259380-55259491	EGFR	EGFR_55259411-55259567_s175_1
chr7:55259479-55259582	EGFR	EGFR_55259411-55259567_s175_2
chr7:116339602-116339694	MET	MET_E168_F/2
chr7:116340221-116340337	MET	MET_N375S_F/2
chr7:116403150-116403246	MET	MET_Y848_notcosmic_F/2
chr7:116411896-116411997	MET	MET_L982-T1010_F/2
chr7:116417426-116417520	MET	METH112-L1130_F/2
chr7:116423407-116423485	MET	MET_Y1248-Y1253-M1268_F/2
chr7:128845078-128845146	SMO	SMO_R199_F/2
chr7:128846011-128846082	SMO	SMO_A324_F/2
chr7:128846362-128846421	SMO	SMO_V404_F/2
chr7:128850272-128850360	SMO	SMO_W535_F/2
chr7:128851522-128851601	SMO	SMO_T640_F/2
chr7:140453110-140453194	BRAF	BRAF_V600_1_F/1
chr7:140481384-140481481	BRAF	BRAF_V471_R444.R/1
chr7:148508693-148508790	EZH2	EZH2_Y646_R/1
chr8:38282139-38282220	FGFR1	FGFR1_P252_R/1
chr8:38285862-38285973	FGFR1	FGFR1_S125-T141_R/1
chr9:5073717-5073781	JAK2	JAK2_V617F/2
chr9:5078343-5078400	JAK2	JAK2_R683_F/2
chr9:21970941-21971063	CDKN2A	CDKN2A_A100-A132__F/1
chr9:21971091-21971210	CDKN2A	CDKN2A_V51-D84__F/1
chr9:80409416-80409498	GNAQ	GNAQ_Q209.F/1
chr9:80412486-80412573	GNAQ	GNAQ_T175S_R183Q_R/1
chr9:133738304-133738385	ABL1	ABL1_M244V-E255_F/2
chr9:133747481-133747579	ABL1	ABL1_D276G_F_option2coversI293/2
chr9:133748237-133748354	ABL1	ABL1_T315-F317L_F/2
chr9:133748386-133748503	ABL1	ABL1_M351T-F359V_F/2
chr9:133750307-133750403	ABL1	ABL1_L384M-H396R_F/2
chr9:135781028-135781083	TSC1	TSC1.E636fs.R/1
chr9:135797225-135797364	TSC1	TSC1_L191_M
chr9:135798716-135798823	TSC1	TSC1_135798735-135798879_s200_1
chr9:135798813-135798914	TSC1	TSC1_135798735-135798879_s200_U_2
chr9:139390785-139390878	NOTCH1	NOTCH1.Q2441-S2468.R/1
chr9:139397764-139397879	NOTCH1	NOTCH_L1679P_R_option2/1
chr9:139399341-139399445	NOTCH1	NOTCH1.L1575-L1601.R/1
chr10:43609029-43609110	RET	RET_F612-C620_F/2
chr10:43609873-43609969	RET	RET_L629-C634_F/2
chr10:43610028-43610101	RET	RET_A664D_F/2
chr10:43613801-43613894	RET	RET_E768D_F/2
chr10:43615563-43615637	RET	RET_A883_F/2
chr10:43617384-43617452	RET	RET_M918T_F_option_2_pairs_with_14-809/2
chr10:89624189-89624314	PTEN	PTEN_M1_T26_F/2
chr10:89653781-89653869	PTEN	PTEN_I26_R55_F/2
chr10:89685244-89685334	PTEN	PTEN_R55_L70_F/2
chr10:89690763-89690848	PTEN	PTEN_L70_V85_F/2
chr10:89692769-89692873	PTEN	PTEN_V85_H118_F/2
chr10:89692868-89692922	PTEN	PTEN_H118_I135_F/2
chr10:89692901-89693008	PTEN	PTEN_R130_K164_F/2
chr10:89711855-89711955	PTEN	PTEN_G165_V190_F/2
chr10:89711951-89712023	PTEN	PTEN_V190_N212_F/2
chr10:89717590-89717675	PTEN	PTEN_N212_R233_F/2
chr10:89717669-89717776	PTEN	PTEN_R233_K267_F/2_TESTING
chr10:89720569-89720700	PTEN	PTEN_D268_I300_F/2__NEW
chr10:89720774-89720879	PTEN	PTEN_D301_K342_F/1__NEW
chr10:89725040-89725142	PTEN	PTEN_V343_D374_F/2
chr10:123257972-123258060	FGFR2	FGFR2__N549_R/1
chr10:123274765-123274846	FGFR2	FGFR2___T370_S372_C382_R/1
chr10:123279481-123279564	FGFR2	FGFR2__W290-K310_R/1
chr10:123279603-123279687	FGFR2	FGFR2_S252-P253_R/1
chr11:533792-533903	HRAS	HRAS_Q61_tailed_truncated_P7_2_(62.7C)/2
chr11:534237-534348	HRAS	HRAS_G12_F/1__NEW
chr11:108117763-108117853	ATM	ATM.R337.F/2
chr11:108119807-108119896	ATM	ATM.V410.F/2
chr11:108123504-108123573	ATM	ATM.P604.F/2
chr11:108137953-108138045	ATM	ATM_E848-F858_F/2
chr11:108155081-108155177	ATM	ATM_A1309_F/2
chr11:108170464-108170556	ATM	ATM_I1681_D1682_F/2
chr11:108170549-108170629	ATM	ATM_L1718_F/2
chr11:108172341-108172442	ATM	ATM_L1742_F/2
chr11:108173631-108173704	ATM	ATM_L1794_F/2
chr11:108173696-108173795	ATM	ATM_L1826_F/2
chr11:108180901-108180969	ATM	ATM_V1941_F/2
chr11:108200906-108200990	ATM	ATM_Q2442_F/2
chr11:108204632-108204693	ATM	ATM_T2666_F/2
chr11:108205711-108205821	ATM	ATM_G2695_F/2
chr11:108206518-108206620	ATM	ATM_D2725_F/2
chr11:108218039-108218142	ATM	ATM_I2888_F/2
chr11:108225543-108225635	ATM	ATM_R2947_F/2
chr11:108236038-108236150	ATM	ATM_R3008_F/2
chr11:108236139-108236231	ATM	ATM_R3047_F/2
chr12:25362775-25362897	KRAS	KRAS_25362728-25362845_2
chr12:25368348-25368449	KRAS	KRAS_25368374-25368494_s175_1
chr12:25368431-25368527	KRAS	KRAS_25368374-25368494_s175_U_2
chr12:25378516-25378591	KRAS	KRAS_25378547-25378707_m1
chr12:25378561-25378656	KRAS	KRAS_25378547-25378707_s225_1
chr12:25380274-25380395	KRAS	KRAS_25380167-25380346_s175_3
chr12:25398149-25398250	KRAS	KRAS_25398207-25398318_s175_1
chr12:25398233-25398309	KRAS	KRAS_25398207-25398318_s175_U_2
chr12:112888113-112888229	PTPN11	PTPN11_1_F/1
chr12:112926833-112926937	PTPN11	PTPN11_2_R/2
chr12:121431381-121431489	HNF1A	HNF1A_R203C-Q211P_F/2
chr12:121431474-121431571	HNF1A	HNF1A_R229_N237_F/2
chr12:121431986-121432089	HNF1A	HNF1A_T260C-Q211P_F/2
chr12:121432059-121432154	HNF1A	HNF1A_G288_G292_F/2
chr13:28592605-28592708	FLT3	FLT3_D835-I836_R/1
chr13:28602280-28602383	FLT3	FLT3.A680.R/1
chr13:28608225-28608321	FLT3	FLT3_Y572-W603.R/1
chr13:28610104-28610206	FLT3	FLT3.S451.R/1
chr13:48919221-48919299	RB1	RB1_E137*_F/2
chr13:48923122-48923213	RB1	RB1_E199*_F/2
chr13:48936958-48937013	RB1	RB1_R251Q_F/2
chr13:48941591-48941676	RB1	RB1_R320*_F/2
chr13:48942648-48942722	RB1	RB1_R358*_F/2
chr13:48953700-48953767	RB1	RB1_R445*_R455*_F/2
chr13:48955482-48955568	RB1	RB1_R552*_R556*_F/2
chr13:49027102-49027182	RB1	RB1_R579*_F/2
