#Swift_Amplicon_Name	Chr	Start	End	Gene	Transcript	Orientation	cDNA_start	upstream_bases	cDNA_end	downstream_bases	starts_in_codon	first_full_codon	ends_in_codon	last_full_codon
MPL_S505N-A519T_F/2	chr1	43814951	43815064	MPL	NM_005373	+	1486	0	1565	34	496	496	522	521
NRAS_A146_R/1	chr1	115252138	115252232	NRAS	NM_002524	-	408	0	450	52	136	137	150	150
NRAS_115252189-115252349_s175_2	chr1	115252226	115252348	NRAS	NM_002524	-	292	0	414	0	98	98	138	138
NRAS_115252189-115252349_s175_3	chr1	115252334	115252450	NRAS	NM_002524	-	291	101	306	0	97	98	102	102
NRAS_115256420-115256599_s175_1	chr1	115256389	115256486	NRAS	NM_002524	-	225	0	290	32	75	76	97	96
NRAS_G60-S65_new_R/1	chr1	115256480	115256576	NRAS	NM_002524	-	135	0	231	0	45	46	77	77
NRAS_G12.F/1	chr1	115258698	115258783	NRAS	NM_002524	-	1	2	84	0	1	1	28	28
DDR2.S768.F/2	chr1	162748351	162748419	DDR2	NM_006182	+	2284	19	2333	0	762	762	778	777
DNMT3A_R882_R/1	chr2	25457174	25457249	DNMT3A	NM_175629	-	2638	0	2713	0	880	880	905	904
ALK_R1275Qoption_2/1	chr2	29432651	29432713	ALK	NM_004304	-	3775	0	3836	1	1259	1259	1279	1278
ALK_F1174-L1196_R/1	chr2	29443607	29443702	ALK	NM_004304	-	3516	1	3610	0	1172	1173	1204	1203
MSH6_exon5_F1/2	chr2	48030559	48030652	MSH6	NM_000179	+	3173	0	3266	0	1058	1059	1089	1088
MSH6_exon5_F2/2	chr2	48030629	48030732	MSH6	NM_000179	+	3243	0	3346	0	1081	1082	1116	1115
MSH6_exon5_F3/2	chr2	48030727	48030802	MSH6	NM_000179	+	3341	0	3416	0	1114	1115	1139	1138
MSH6_exon5_F4/2	chr2	48030790	48030883	MSH6	NM_000179	+	3404	0	3438	59	1135	1136	1146	1146
IDH1_R132_R/1	chr2	209113107	209113213	IDH1	NM_001282386	-	294	0	400	0	98	99	134	133
ERBB4_D931_G936_R/1	chr2	212288887	212288978	ERBB4	NM_005235	-	2768	0	2859	0	923	924	953	953
ERBB4_D595_H618_R/1	chr2	212530060	212530148	ERBB4	NM_005235	-	1771	0	1859	0	591	591	620	619
ERBB4_S341_V348_R/1	chr2	212576794	212576892	ERBB4	NM_005235	-	1007	0	1105	0	336	337	369	368
ERBB4_S303_R306_R/1	chr2	212578279	212578353	ERBB4	NM_005235	-	904	0	978	0	302	302	326	326
ERBB4_Y285C_R/1	chr2	212587142	212587213	ERBB4	NM_005235	-	788	0	859	0	263	264	287	286
ERBB4_T244R_R/1	chr2	212589771	212589838	ERBB4	NM_005235	-	704	0	741	30	235	236	247	247
ERBB4_N181S_R/1	chr2	212652715	212652812	ERBB4	NM_005235	-	494	0	556	35	165	166	186	185
ERBB4_T140I_R/1	chr2	212812073	212812171	ERBB4	NM_005235	-	405	0	421	82	135	136	141	140
vhl1_F/2	chr3	10183765	10183854	VHL	NM_000551	+	234	0	323	0	78	79	108	107
vhl2_F/2	chr3	10188185	10188302	VHL	NM_000551	+	341	13	445	0	114	115	149	148
vhl3_F/2	chr3	10191420	10191521	VHL	NM_000551	+	464	51	514	0	155	156	172	171
MLH1_V384D_F/2	chr3	37067191	37067256	MLH1	NM_000249	+	1102	0	1167	0	368	368	389	389
